out_name,units,long_name,standard_name,priority,comments,frequency
mrfsol,kg m-2,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,TIER1,The mass of frosen water in each soil layer (3D variable). Reported as missing for grid cells with no land. (not in CMIP),day
mrfsol,kg m-2,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,TIER1,The mass of frosen water in each soil layer (3D variable). Reported as missing for grid cells with no land. (not in CMIP),6hrPt
mrso,kg m-2,Total Soil Moisture Content,mass_content_of_water_in_soil,TIER1,"The mass of water in all phases per unit area, summed over all soil layers.",mon
mrso,kg m-2,Total Soil Moisture Content,mass_content_of_water_in_soil,TIER1,"The mass of water in all phases per unit area, summed over all soil layers.",day
mrso,kg m-2,Total Soil Moisture Content,mass_content_of_water_in_soil,TIER1,"The mass of water in all phases per unit area, summed over all soil layers.",6hrPt
mrsos,kg m-2,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in the upper 10cm of the soil layer. Reported as missing for grid cells with no land.,mon
mrsos,kg m-2,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in the upper 10cm of the soil layer. Reported as missing for grid cells with no land.,day
mrsos,kg m-2,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in the upper 10cm of the soil layer. Reported as missing for grid cells with no land.,1hrPt
mrsol,kg m-2,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,TIER1, The mass of water in all phases in each soil layer (3D variable). Reported as missing for grid cells with no land.,mon
mrsol,kg m-2,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,TIER1, The mass of water in all phases in each soil layer (3D variable). Reported as missing for grid cells with no land.,day
mrsol,kg m-2,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,TIER1, The mass of water in all phases in each soil layer (3D variable). Reported as missing for grid cells with no land.,6hrPt
snw,kg m-2,Surface Snow Amount,surface_snow_amount,TIER1,,mon
snw,kg m-2,Surface Snow Amount,surface_snow_amount,TIER1,,day
snw,kg m-2,Surface Snow Amount,surface_snow_amount,TIER1,,6hrPt
snc,%,Snow Area Percentage,surface_snow_area_fraction,TIER1,,mon
snc,%,Snow Area Percentage,surface_snow_area_fraction,TIER1,,day
snc,%,Snow Area Percentage,surface_snow_area_fraction,TIER1,,6hrPt
snd,m,Snow Depth,surface_snow_thickness,TIER1,,mon
snd,m,Snow Depth,surface_snow_thickness,TIER1,,day
snd,m,Snow Depth,surface_snow_thickness,TIER1,,6hrPt
siconca,%,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,TIER1,daily and monthly means,mon
siconca,%,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,TIER1,daily and monthly means,day
zmla,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,TIER1,,mon
zmla,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,TIER1,,day
zmla,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,TIER1,,1hrPt
prw,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,TIER1,,mon
prw,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,TIER1,,day
prw,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,TIER1,,1hrPt
clwvi,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,TIER1,,mon
clwvi,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,TIER1,,day
clwvi,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,TIER1,,1hrPt
clivi,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,TIER1,,mon
clivi,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,TIER1,,day
clivi,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,TIER1,,1hrPt
ua1000,m s-1,Eastward Wind,eastward_wind,TIER1,,mon
ua1000,m s-1,Eastward Wind,eastward_wind,TIER1,,day
ua1000,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt
ua925,m s-1,Eastward Wind,eastward_wind,TIER1,,mon
ua925,m s-1,Eastward Wind,eastward_wind,TIER1,,day
ua925,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt
ua850,m s-1,Eastward Wind,eastward_wind,TIER1,,mon
ua850,m s-1,Eastward Wind,eastward_wind,TIER1,,day
ua850,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt
ua700,m s-1,Eastward Wind,eastward_wind,TIER1,,mon
ua700,m s-1,Eastward Wind,eastward_wind,TIER1,,day
ua700,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt
ua600,m s-1,Eastward Wind,eastward_wind,TIER1,,mon
ua600,m s-1,Eastward Wind,eastward_wind,TIER1,,day
ua600,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt
ua500,m s-1,Eastward Wind,eastward_wind,TIER1,,mon
ua500,m s-1,Eastward Wind,eastward_wind,TIER1,,day
ua500,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt
ua400,m s-1,Eastward Wind,eastward_wind,TIER1,,mon
ua400,m s-1,Eastward Wind,eastward_wind,TIER1,,day
ua400,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt
ua300,m s-1,Eastward Wind,eastward_wind,TIER1,,mon
ua300,m s-1,Eastward Wind,eastward_wind,TIER1,,day
