out_name,units,long_name,standard_name,priority,comment,frequency,cell_methods
hus250,1,Specific Humidity,specific_humidity,TIER1,,mon,area: mean time: mean
hus250,1,Specific Humidity,specific_humidity,TIER1,,day,area: mean time: mean
hus250,1,Specific Humidity,specific_humidity,TIER1,,6hrPt,area: mean time: point
hus200,1,Specific Humidity,specific_humidity,TIER1,,mon,area: mean time: mean
hus200,1,Specific Humidity,specific_humidity,TIER1,,day,area: mean time: mean
hus200,1,Specific Humidity,specific_humidity,TIER1,,6hrPt,area: mean time: point
zg1000,m,Geopotential Height,geopotential_height,TIER1,,mon,area: mean time: mean
zg1000,m,Geopotential Height,geopotential_height,TIER1,,day,area: mean time: mean
zg1000,m,Geopotential Height,geopotential_height,TIER1,,6hrPt,area: mean time: point
zg925,m,Geopotential Height,geopotential_height,TIER1,,mon,area: mean time: mean
